Date,Open,Close,PercentChange
09/26/2019,2985.73,2977.62,-0.002716
09/27/2019,2985.47,2961.79,-0.007932
09/30/2019,2967.07,2976.74,0.003259
10/01/2019,2983.69,2940.25,-0.014559
10/02/2019,2924.78,2887.61,-0.012709
10/03/2019,2885.38,2910.63,0.008751
10/04/2019,2918.56,2952.01,0.011461
10/07/2019,2944.23,2938.79,-0.001848
10/08/2019,2920.40,2893.06,-0.009362
10/09/2019,2911.10,2919.40,0.002851
10/10/2019,2918.55,2938.13,0.006709
10/11/2019,2963.07,2970.27,0.002430
10/14/2019,2965.81,2966.15,0.000115
10/15/2019,2973.61,2995.68,0.007422
10/16/2019,2989.68,2989.69,0.000003
10/17/2019,3000.77,2997.95,-0.000940
10/18/2019,2996.84,2986.20,-0.003550
10/21/2019,2996.48,3006.72,0.003417
10/22/2019,3010.73,2995.99,-0.004896
10/23/2019,2994.01,3004.52,0.003510
10/24/2019,3014.78,3010.29,-0.001489
10/25/2019,3003.32,3022.55,0.006403
10/28/2019,3032.12,3039.42,0.002408
10/29/2019,3035.39,3036.89,0.000494
10/30/2019,3039.74,3046.77,0.002313
10/31/2019,3046.90,3037.56,-0.003065
11/01/2019,3050.72,3066.91,0.005307
11/04/2019,3078.96,3078.27,-0.000224
11/05/2019,3080.80,3074.62,-0.002006
11/06/2019,3075.10,3076.78,0.000546
11/07/2019,3087.02,3085.18,-0.000596
11/08/2019,3081.25,3093.08,0.003839
11/11/2019,3080.33,3087.01,0.002169
11/12/2019,3089.28,3091.84,0.000829
11/13/2019,3084.18,3094.04,0.003197
11/14/2019,3090.75,3096.63,0.001902
11/15/2019,3107.92,3120.46,0.004035
11/18/2019,3117.91,3122.03,0.001321
11/19/2019,3127.45,3120.18,-0.002325
11/20/2019,3114.66,3108.46,-0.001991
11/21/2019,3108.49,3103.54,-0.001592
11/22/2019,3111.41,3110.29,-0.000360
11/25/2019,3117.44,3133.64,0.005197
11/26/2019,3134.85,3140.52,0.001809
11/27/2019,3145.49,3153.63,0.002588
11/29/2019,3147.18,3140.98,-0.001970
12/02/2019,3143.85,3113.87,-0.009536
12/03/2019,3087.41,3093.20,0.001875
